id,item
004c2575-0b5c-4e98-abbd-34899512aa84,"{""active"":true,""adminFee"":0,""basePrice"":49200,""code"":""TLKM50"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":"""",""id"":""4f66ff7e-2bda-42a0-ad14-71ff6da3da20"",""name"":""Telkomsel 50.000"",""operatorCode"":""telkomsel"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""mobile"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
005d62c3-66a1-4a79-ac3d-4557e41b43b0,"{""active"":true,""adminFee"":0,""basePrice"":49250,""code"":""XL50"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":"""",""id"":""967c04ff-5e79-448f-a49d-99d3f5bc014a"",""name"":""XL 50.000"",""operatorCode"":""xl"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""mobile"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
00745427-2c79-493b-ab76-22e09c5fc3e7,"{""active"":true,""adminFee"":0,""basePrice"":48775,""code"":""INDST50"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":"""",""id"":""45834810-5e57-465e-8407-3f09967852ca"",""name"":""Indosat 50.000"",""operatorCode"":""indosat"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""mobile"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
00783e65-21a4-448d-b4be-a2e74edbce2b,"{""active"":true,""adminFee"":0,""basePrice"":24650,""code"":""TLKM25"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":"""",""id"":""c79590b9-9696-4167-aff4-e943c7b44157"",""name"":""Telkomsel 25.000"",""operatorCode"":""telkomsel"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""mobile"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
00788795-eebd-4e22-b8ab-bade1637546e,"{""active"":true,""adminFee"":0,""basePrice"":28100,""code"":""DATA_XL80"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":""800MB (2G/3G/4G) 24 jam (30 hari)"",""id"":""367c83cd-f857-4ef8-88e5-705f552b1c5b"",""name"":""HotRod 800MB"",""operatorCode"":""xl_data"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""data"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
0079953f-1bf9-411a-91db-862c040388a1,"{""active"":true,""adminFee"":1500,""basePrice"":800,""code"":""PP_HALO"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":"""",""id"":""071e3d3d-75ee-4a8c-87b9-d2e54c28f90c"",""name"":""Telkomsel Pascabayar"",""operatorCode"":""telkomsel_postpaid"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""mobile_postpaid"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
007ec7c8-1796-40c4-8c8a-cb124fe787ec,"{""active"":true,""adminFee"":0,""basePrice"":3575,""code"":""DATA_INDSTY1"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":"""",""id"":""0f6ce4d4-0f98-4ca4-b011-3ce5bcc4ed8e"",""name"":""Indosat Yellow 1GB (masa aktif 1 hari)"",""operatorCode"":""indosat_data"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""data"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
007efd6f-5a9e-4763-a981-51e340b62f21,"{""active"":true,""adminFee"":0,""basePrice"":24650,""code"":""TLKM25"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":"""",""id"":""c79590b9-9696-4167-aff4-e943c7b44157"",""name"":""Telkomsel 25.000"",""operatorCode"":""telkomsel"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""mobile"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
00821c5e-9fb9-498f-86ef-77e68c201776,"{""active"":true,""adminFee"":0,""basePrice"":53593,""code"":""DATA_XL_XTRACOMBO6"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":""Xtra Combo 5GB 2G/3G/4G + 5G Youtube 24Jam + 20 menit Tlp all operator + Youtube Tanpa Kuota jam 01:00-06:00 (30 hari)"",""id"":""55d89422-db9d-4963-9f8f-d3a981fe7346"",""name"":""XTRA Combo 5GB+5GB"",""operatorCode"":""xl_data"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""data"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
00930fcd-d44f-48f8-958e-bd163c46e616,"{""active"":true,""adminFee"":0,""basePrice"":3575,""code"":""DATA_INDSTY1"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":"""",""id"":""0f6ce4d4-0f98-4ca4-b011-3ce5bcc4ed8e"",""name"":""Indosat Yellow 1GB (masa aktif 1 hari)"",""operatorCode"":""indosat_data"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""data"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
